rpid,点赞数量,用户,性别,等级,评论内容,发布时间
139150311792,1,子弹567,男,5,能不能直接给一个txt下载的链接，GitHub打不开,29天前发布
139133621056,1,悠霜若卓,保密,5,atelier-anchor.com/typefaces/smiley-sans/,30天前发布
139130350224,1,宇宙火星sir,男,2,卡塔尔世界杯用你的字体了！！,30天前发布
139063877456,1,清风へ浅笑,保密,5,换完了字体为啥感觉有点晕[喜极而泣],30天前发布
139040444176,1,b站用户163233932,保密,2,得意黑是不是在三星主题商店出现过[脸红][脸红],30天前发布
139029034096,1,啊呀对对对你都对,保密,3,好漂亮的字，中文字库制作难度真的是地狱级别的，谢谢你开源侠[鼓掌],30天前发布
139000547824,1,邓中二,保密,5,我死了墓碑上的字体都得是得意黑,30天前发布
138994656912,1,牛奶-不够纯,男,5,哇，点赞和投币竟然一样！[打call][打call],30天前发布
138994326032,1,万能熊孩子,保密,5,虽然懒得下，但是有人抱薪不可使抱薪者冻毙。三连了,30天前发布
138988831904,1,追逐微风之人,男,6,三连俩币[OK],31天前发布
138975918608,1,DE长夜,男,6,共产主义被up学明白了[热词系列_三连],31天前发布
138830644224,1,口镜,保密,5,口腔医生感觉被宠了[给心心],32天前发布
138747135264,1,不输怎么的,男,6,艺术并带着趣味。不觉得很酷吗，作为一名不懂艺术的普通人我觉得这太酷😎了，很符合我对高质量字体的想象,32天前发布
138695553248,1,你们的笑容由我来守护,男,6,可以适配一下日语吗,33天前发布
138678316480,1,跨境阿米show,男,3,连席亚洲、饼叔、百岁山不甜等都没给过、极其罕见的一键三连，我给了。,33天前发布
138627473776,1,伍基波波夫,保密,4,顶上去顶上去,33天前发布
138625679392,1,伍基波波夫,保密,4,真正互联网共享精神，一点硬币不成敬意请笑纳吧,33天前发布
138616411904,1,枕边童话i,保密,2,运费险橡木，稳定，寻长期合作伙伴，个人，工作室，小白均可，可实地考察，欢迎来喝茶,33天前发布
138616147328,1,东东翔,男,6,帅啊,33天前发布
138610428528,1,丝紫,男,6,让我想到前些年，那些动不动告字体侵权的，up真的大善人，有点往坏的地方想的了，up动了那些人的蛋糕，会不会被打击报复,33天前发布
138597214000,1,离谱小朋友,女,5,小黑子体,33天前发布
138583892336,1,好学的孙同学,保密,5,谢谢大佬！！看了世界杯介绍被安利来的，真的很可爱，很喜欢~~[原神_欸嘿][原神_欸嘿][原神_哇][原神_哇],34天前发布
138581898512,1,我是水蜜桃w,女,4,看到公众号有推，我立刻下载了得意黑字体，嘻嘻,34天前发布
138581626704,1,陈巧梅1,保密,2,[笑],34天前发布
138580720432,1,张羡鱼er,保密,2,卡塔尔世界杯,34天前发布
138564842096,1,spareowfly,保密,5,字体库能不能加一个“犇”字啊,34天前发布
138466392384,1,豆子爱吃豆皮,男,3,世界杯都用上了 排面！,34天前发布
138466265360,1,阿赖哇waaa,女,6,希望可以加进“赟”字~,34天前发布
138458467728,1,老北京串串香,男,5,大佬能出一期使用教程吗,34天前发布
138445966352,1,野子,保密,6,设计师深知一款字体诞生的工程量，除了三连也不知道能做什么，感谢up主的心血,35天前发布
138435377024,1,事件视界V,男,6,谢谢你 很多圈老师,35天前发布
138385710560,1,怕热的毛毯君-,男,5,侘寂风的“侘”打不出来[笑哭],35天前发布
138383822768,1,香蕉蓝,保密,6,太牛了，四舍五入登上央视了！,35天前发布
138382210528,1,马奎尔回旋,男,5,在世界杯看到得意黑！,35天前发布
138380031504,1,LiLuanL,保密,5,献出两个圆圆的林檎支持下六蛋老师[打call],35天前发布
138372081664,1,一点桑,保密,5,可以加入“晞”这个字吗？,35天前发布
